Compound	Sample1.tsv	Sample2.tsv	Sample3.tsv	Mean_RT	SD_RT	Name	Metabolite	HMDB	KEGG	PubChem	ChEBI	METLIN
EIQTMS_N12C_LJAF_1327.1_2236BN50_Succinic acid (2TMS)		8.65		8.65		Succinic acid	Succinic acid	HMDB0000254	C00042	1110	15741	114
EIQTMS_N12C_LJALM_1326.3_2236BN40_Succinic acid (2TMS)			8.65	8.65		Succinic acid	Succinic acid	HMDB0000254	C00042	1110	15741	114
Cyclohexasiloxane, dodecamethyl-	8.75			8.75		Cyclohexasiloxane		-	-	-	-	-
EITTMS_N12C_ATHR_1358.9_1135EC06_	9.1	9.1	9.11	9.10333333333333	0.00577350269189613	EITTMS_N12C_ATHR_1358.9_1135EC06_		-	-	-	-	-
5-Keto-2,2-dimethylheptanoic acid, ethyl(ester)	9.42	9.41	9.42	9.41666666666667	0.00577350269189613	5-Keto-2,2-dimethylheptanoic acid		-	-	-	-	-
EIQTMS_N12C_ATHL_1367.4_3161BN33_L-Serine (3TMS)	9.59	9.59		9.59	0	L-Serine	L-Serine	HMDB0000187	C00065	5951	17115	5203
EIQTMS_N12C_LJAF_1370.6_2236BN50_L-Serine (3TMS)			9.59	9.59		L-Serine	L-Serine	HMDB0000187	C00065	5951	17115	5203
EIQTMS_N12C_LJAF_1394.7_2236BN50_L-Threonine (3TMS)	10.1			10.1		L-Threonine	L-Threonine	HMDB0000167	C00188	6288	16857	32
EIQTMS_N12C_LJALD_1394.0_2236BN30_L-Threonine (3TMS)		10.1		10.1		L-Threonine	L-Threonine	HMDB0000167	C00188	6288	16857	32
EIQTMS_N12C_ATHL_1392.0_3161BN20_L-Threonine (3TMS)			10.11	10.11		L-Threonine	L-Threonine	HMDB0000167	C00188	6288	16857	32
l-Methionine, trimethylsilyl ester			10.39	10.39		l-Methionine	L-Methionine	HMDB0000696	C00073	6137	16643	5664
Tris(hydroxymethyl)aminomethane, O,O',O''-tris(trimethylsilyl) ether			10.54	10.54		Tris(hydroxymethyl)aminomethane	2-Amino-2-methylol-propane-1,3-diol	HMDB0240288	C07182	6503	9754	-
l-Aspartic acid, bis(trimethylsilyl) ester		10.66	10.67	10.665	0.00707106781186532	l-Aspartic acid	L-Aspartic acid	HMDB0000191	C00049	5960	17053	5206
_-Alanine, N,N-bis(trimethylsilyl)-, trimethylsilyl ester		10.79	10.79	10.79	0	Alanine	L-Alanine	HMDB0000161	C00041	5950	16977	-
EIQTMS_N12C_LJAF_1431.9_2236BN50_beta-Alanine (3TMS)	10.79			10.79		beta-Alanine	Beta-Alanine	HMDB0000056	C00099	239	16958	5119
1H-Indole-2,3-dione, 6-ethoxy-1-(trimethylsilyl)-, 3-[O-(trimethylsilyl)oxime]		11.46		11.46		1H-Indole-2,3-dione	1H-Indole-2,3-dione	HMDB0061933	C11129	7054	27539	-
Glycine, N-[_-[(tert-butyldimethylsilyl)oxy]benzylidene]-, tert-butyldimethylsilyl ester	11.46			11.46		Glycine	Glycine	HMDB0000123	C00037	750	15428	20
L-(+)-Threose, tris(trimethylsilyl) ether, methyloxime (syn)			11.46	11.46		L-(+)-Threose		-	-	-	-	-
EITTMS_N12C_ATHR_1479.3_1135EC44_		11.78	11.78	11.78	0	EITTMS_N12C_ATHR_1479.3_1135EC44_		-	-	-	-	-
EIQTMS_N12C_ATHL_1491.4_3161BN27_Malic acid (3TMS)	12.07		12.07	12.07	0	Malic acid	Malic acid	HMDB0000744	C03668	525	6650	118
EIQTMS_N12C_LJALM_1491.9_2236BN40_Malic acid (3TMS)		12.07		12.07		Malic acid	Malic acid	HMDB0000744	C03668	525	6650	118
3,6,9,12-Tetraoxa-2,13-disilatetradecane, 2,2,13,13-tetramethyl-	12.25	12.25	12.25	12.25	0	3,6,9,12-Tetraoxa-2,13-disilatetradecane		-	-	-	-	-
(Trimethylsilyl)methyl octanoate	12.39	12.38	12.39	12.3866666666667	0.00577350269189613	Trimethylsilyl)methyl octanoate		-	-	-	-	-
EIQTMS_N12C_LJARP_1527.6_2236BN20_Pyroglutamic acid (2TMS)	12.66	12.66		12.66	0	Pyroglutamic acid	Pyroglutamic acid	HMDB0000267	C01879	7405	18183	3251
EIQTMS_N12C_NID1_1538.9_1267BK12_[596; N-Acetylglutamic acid (2TMS)]			12.79	12.79		N-Acetylglutamic acid	N-Acetylglutamic acid	-	-	70914	-	-
Propanoic acid, 2-methyl-2,3-bis[(trimethylsilyl)oxy]-, trimethylsilyl ester			13.55	13.55		Propanoic acid	Propionic acid	HMDB0000237	C00163	1032	30768	3215
EIQTMS_N12C_SD1_1567.6_3196BU28_Threonic acid (4TMS)	13.71	13.71	13.71	13.71	0	Threonic acid	Threonic acid	HMDB0000943	C01620	151152	49059	5891
EITTMS_N12C_ATHR_1594.9_1135EC44_[661; Proline (2TMS)]			13.88	13.88		Proline	L-Proline	HMDB0000162	C00148	145742	17203	29
EIQTMS_N12C_ATHL_1630.5_3161BN27_L-Glutamic acid (3TMS)	14.74	14.74	14.74	14.74	0	L-Glutamic acid	L-Glutamic acid	HMDB0000148	C00025	33032	16015	5174
Dodecanoic acid, trimethylsilyl ester	15.15	15.14	15.15	15.1466666666667	0.00577350269189613	Dodecanoic acid	Dodecanoic acid	HMDB0000638	C02679	3893	30805	5611
Silane, (1,2,4,5-cyclohexanetetrayltetraoxy)tetrakis[trimethyl-			15.55	15.55		Silane		-	-	-	-	-
EITTMS_N12C_SD2_1681.5_1179EK03_L-Asparagine (3TMS)	15.81	15.8	15.8	15.8033333333333	0.00577350269189613	L-Asparagine	L-Asparagine	HMDB0000168	C00152	6267	17196	14
EITTMS_N12C_STUL_1681.2_1135EC28_Ribose methoxyamine (4TMS)	16.26	16.26	16.25	16.2566666666667	0.00577350269189716	Ribose methoxyamine		-	-	-	-	-
D-(-)-Tagatose, pentakis(trimethylsilyl) ether, methyloxime (anti)			16.45	16.45		D-(-)-Tagatose		-	-	-	-	-
2-[1-[2-(tert-Butyl-dimethyl-siloxylmethyl]-pyrrolidino]ethyl]-5-phenyl-[1,3,4]oxadiazole	16.65			16.65		2-[1-[2-(tert-Butyl-dimethyl-siloxylmethyl]-pyrrolidino]ethyl]-5-phenyl-[1,3,4]oxadiazole		-	-	-	-	-
EITTMS_N12C_NTAL_1700.2_1135EC07_[Pentitol (5TMS)]		16.65	16.65	16.65	0	Pentitol	Ribitol	HMDB0000508	C00474	-	15963	316
EITTMS_N12C_SD1_1886.0_1344EC16_2-Ketogluconic acid methoxyamine {BP} (5TMS)	16.82			16.82		2-Ketogluconic acid methoxyamine 		-	-	-	-	-
EIQTMS_N12C_SD1_1716.4_3196BU17_Xylitol (5TMS) - RT:16.89			16.89	16.89		Xylitol	Xylitol	HMDB0002917	C00379	6912	17151	-
EITTMS_N12C_SD1_1717.4_1288EC37_Xylitol (5TMS)		16.89		16.89		Xylitol	Xylitol	HMDB0002917	C00379	6912	17151	-
EIQTMS_N12C_SD1_1716.4_3196BU17_Xylitol (5TMS)	17.14	17.14		17.14	0	Xylitol	Xylitol	HMDB0002917	C00379	6912	17151	-
EIQTMS_N12C_SD1_1716.4_3196BU17_Xylitol (5TMS) - RT:17.15			17.15	17.15		Xylitol	Xylitol	HMDB0002917	C00379	6912	17151	-
EITTMS_N12C_SD1_1862.2_2011EC39_2-Keto-L-gulonic acid methoxyamine (5TMS)	17.36			17.36		2-Keto-L-gulonic acid methoxyamine		-	-	-	-	-
EITTMS_N12C_SD1_1862.2_2011EC39_2-Keto-L-gulonic acid methoxyamine (5TMS)1			17.36	17.36		2-Keto-L-gulonic acid methoxyamine		-	-	-	-	-
_-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate - RT:17.57		17.57		17.57		D-Glucopyranoside	D-Glucopyranoside	HMDB0062170	C00718	53477771	28102	6917
_-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate1			17.57	17.57		D-Glucopyranoside	D-Glucopyranoside	HMDB0062170	C00718	53477771	28102	6917
5,8,11,14-Eicosatetraynoic acid, trimethylsilyl ester	17.58			17.58		5,8,11,14-Eicosatetraynoic acid		-	-	-	-	-
EIQTMS_N12C_ATHL_1784.5_3161BN22_L-Glutamine (3TMS)			17.87	17.87		L-Glutamine	L-Glutamine	HMDB0000641	C00064	5961	18050	5614
EIQTMS_N12C_ATHL_1784.8_3038BN18_L-Glutamine (3TMS)	17.88	17.87		17.875	0.00707106781186407	L-Glutamine	L-Glutamine	HMDB0000641	C00064	5961	18050	5614
EITTMS_N12C_STUO_1953.9_1135EC31_G			17.99	17.99		EITTMS_N12C_STUO_1953.9_1135EC31_G		-	-	-	-	-
EIQTMS_N12C_LJALM_1773.4_2236BN40_[939; 2-Keto-L-gluconic acid (5TMS); A11]1			18.08	18.08		2-Keto-L-gluconic acid	2-Keto-L-gluconate	HMDB0011732	C15673	50	88378	-
_-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate - RT:18.14		18.14		18.14		D-Galactopyranoside		-	-	-	-	-
EIQTMS_N12C_OARPLAS_1827.4_3350DF05_Citric acid (4TMS)	19.02	19.01		19.015	0.00707106781186407	Citric acid	Citric acid	HMDB0000094	C00158	311	30769	124
Tetradecanoic acid, trimethylsilyl ester			19.11	19.11		Tetradecanoic acid	Myristic acid	HMDB0000806	C06424	11005	28875	196
N-Acetyl glucosamine methoxime, tetrakis(trimethylsilyl)	19.37		19.36	19.365	0.00707106781186658	N-Acetyl glucosamine methoxime		-	-	-	-	-
D-Ribo-Hexitol, 3-deoxy-1,2,4,5,6-pentakis-O-(trimethylsilyl)-		19.37		19.37		D-Ribo-Hexitol		-	-	-	-	-
EIQTMS_N12C_LJALM_1852.8_2236BN40_Dehydroascorbic acid dimer; L(+)-Ascorbic acid {BP}		19.53		19.53		L(+)-Ascorbic acid 		-	-	-	-	-
EIQTMS_N12C_LJALM_1852.8_2236BN40_Dehydroascorbic acid dimer; L(+)-Ascorbic acid {BP}1			19.53	19.53		L(+)-Ascorbic acid 		-	-	-	-	-
EIQTMS_N12C_LJALM_1852.8_2236BN40_Dehydroascorbic acid dimer; L(+)-Ascorbic acid {BP}1 - RT:20.04			20.04	20.04		L(+)-Ascorbic acid 		-	-	-	-	-
EIQTMS_N12C_LJARL_1875.9_2236BN14_Fructose methoxyamine (5TMS)		20.28	20.29	20.285	0.00707106781186407	Fructose methoxyamine		-	-	-	-	-
EIQTMS_N12C_SD1_1878.2_3035BB03_Sorbose methoxyamine {BP} (5TMS)	20.3			20.3		Sorbose methoxyamine 		-	-	-	-	-
EITTMS_N12C_NTAR_2690.8_1135EC08_Lactose methoxyamine (8TMS); beta-D-Gal-(1,4)-D-Glc	20.61			20.61		Lactose methoxyamine		-	-	-	-	-
EITTMS_N12C_SD2_1885.5_1135EC00_Galactose methoxyamine (5TMS)		20.66		20.66		Galactose methoxyamine		-	-	-	-	-
d-Galactose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1E)-			20.67	20.67		d-Galactose	D-Galactose	-	C00124	3424	4139	-
d-Galactose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1E)- - RT:20.79			20.79	20.79		d-Galactose	D-Galactose	-	C00124	3424	4139	-
d-Glucose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1E)-	20.79	20.79		20.79	0	d-Glucose	D-Glucose	HMDB0000122	C00031	5793	4167	133
d-Galactose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1E)- - RT:21.06			21.06	21.06		d-Galactose	D-Galactose	-	C00124	3424	4139	-
EITTMS_N12C_SD2_1889.9_1135EC00_Glucose methoxyamine (5TMS)	21.09			21.09		Glucose methoxyamine		-	-	-	-	-
EITTMS_N12C_ATHR_1910.1_1135EC44_Glucose methoxyamine {BP} (5TMS)		21.13		21.13		Glucose methoxyamine 		-	-	-	-	-
D-Mannitol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-	21.42	21.42	21.41	21.4166666666667	0.00577350269189716	D-Mannitol	Mannitol	HMDB0000765	C00392	6251	16899	142
D-Mannitol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)- - RT:21.56	21.56			21.56		D-Mannitol	Mannitol	HMDB0000765	C00392	6251	16899	142
EITTMS_N12C_SD2_1728.8_1164EK02_Ribitol (5TMS)	21.66			21.66		Ribitol	Ribitol	HMDB0000508	C00474	-	15963	316
10,12-Docosadiynedioic acid ditms			22.09	22.09		10,12-Docosadiynedioic acid ditms		-	-	-	-	-
EITTMS_N12C_STUL_2254.2_1135EC28_G		22.25		22.25		EITTMS_N12C_STUL_2254.2_1135EC28_G		-	-	-	-	-
_-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate	22.26		22.26	22.26	0	D-Galactopyranoside		-	-	-	-	-
EITTMS_N12C_STUF_1968.0_1135EC32_G	22.37			22.37		EITTMS_N12C_STUF_1968.0_1135EC32_G		-	-	-	-	-
7-(Trimethylsilyl)-2,6-bis[(trimethylsilyl)oxy]-7H-purine			22.76	22.76		7-(Trimethylsilyl)-2,6-bis[(trimethylsilyl)oxy]-7H-purine		-	-	-	-	-
EIQTMS_N12C_SCA_2049.5_3147BF22_Hexadecanoic acid (1TMS)		22.89		22.89		Hexadecanoic acid	Palmitic acid	HMDB0000220	C00249	985	15756	187
EIQTMS_N12C_LJAF_2051.5_2236BN50_Hexadecanoic acid (1TMS)	22.89		22.9	22.895	0.00707106781186407	Hexadecanoic acid	Palmitic acid	HMDB0000220	C00249	985	15756	187
EITTMS_N12C_ATHR_2027.2_1135EC44_	23.29		23.29	23.29	0	EITTMS_N12C_ATHR_2027.2_1135EC44_		-	-	-	-	-
Oleanitrile		23.47	23.48	23.475	0.00707106781186658	Oleanitrile		-	-	-	-	-
EITTMS_N12C_SD1_2089.0_1288EC05_Allantoin (3TMS)	23.71			23.71		Allantoin	Allantoin	-	-	439714	-	-
_-D-Glucopyranosiduronic acid, 3-(5-ethylhexahydro-2,4,6-trioxo-5-pyrimidinyl)-1,1-dimethylpropyl 2,3,4-tris-O-(trimethylsilyl)-, methyl ester1			23.98	23.98		D-Glucopyranosiduronic acid		-	-	-	-	-
_-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate	23.99			23.99		D-Glucopyranoside	D-Glucopyranoside	HMDB0062170	C00718	53477771	28102	6917
_-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate - RT:24.2	24.2			24.2		D-Glucopyranoside	D-Glucopyranoside	HMDB0062170	C00718	53477771	28102	6917
EIQTMS_N12C_ATHL_2090.3_3161BN22_myo-Inositol (6TMS)			24.34	24.34		myo-Inositol	myo-Inositol	HMDB0000211	C00137	-	17268	5221
EIQTMS_N12C_LJARL_2093.9_2236BN14_myo-Inositol (6TMS)		24.34		24.34		myo-Inositol	myo-Inositol	HMDB0000211	C00137	-	17268	5221
EIQTMS_N12C_SD1_2111.3_1325BK16_Uric acid (4TMS)	24.44		24.44	24.44	0	Uric acid	Uric acid	HMDB0000289	C00366	1175	17775	88
N,9-bis(Trimethylsilyl)-6-[(trimethylsilyl)oxy]-9H-purin-2-amine		24.63	24.64	24.635	0.00707106781186658	N,9-bis(Trimethylsilyl)-6-[(trimethylsilyl)oxy]-9H-purin-2-amine		-	-	-	-	-
Heptadecanoic acid, trimethylsilyl ester	24.66			24.66		Heptadecanoic acid	Heptadecanoic acid	HMDB0002259	-	10465	32365	6578
D-(-)-Fructofuranose, pentakis(trimethylsilyl) ether (isomer 2)			25.72	25.72		D-(-)-Fructofuranose		-	-	-	-	-
D-Psicofuranose, pentakis(trimethylsilyl) ether (isomer 1)		25.72		25.72		D-Psicofuranose		-	-	-	-	-
trans-9-Octadecenoic acid, trimethylsilyl ester	25.94	25.94	25.94	25.94	0	trans-9-Octadecenoic acid	Elaidic acid	HMDB0000573	C01712	637517	27997	3406
EIQTMS_N12C_SCA_2246.9_3147BF23_Octadecanoic acid (1TMS)	26.37	26.37	26.37	26.37	0	Octadecanoic acid	Stearic acid	HMDB0000827	C01530	5281	28842	189
EITTMS_N12C_ATHL_2309.5_1135EC24_[Galactosylglycerol (6TMS)]	27.42	27.42	27.43	27.4233333333333	0.00577350269189511	Galactosylglycerol	Galactosylglycerol	HMDB0006790	C05401	656504	15754	-
EITTMS_N12C_ATHL_3035.3_1135EC05_[952; Sucrose (8TMS)]	27.64	27.63		27.635	0.00707106781186658	Sucrose	Sucrose	HMDB0000258	C00089	5988	17992	137
EITTMS_N12C_ATHL_2309.5_1135EC24_[Galactosylglycerol (6TMS)] - RT:27.74	27.74	27.74		27.74	0	Galactosylglycerol	Galactosylglycerol	HMDB0006790	C05401	656504	15754	-
EITTMS_N12C_ATHL_2309.5_1135EC24_[Galactosylglycerol (6TMS)] - RT:27.75			27.75	27.75		Galactosylglycerol	Galactosylglycerol	HMDB0006790	C05401	656504	15754	-
EIQTMS_N12C_ATHL_2331.7_3161BN25_Glucose-6-phosphate methoxyamine (6TMS)		27.85		27.85		Glucose-6-phosphate methoxyamine		-	-	-	-	-
EITTMS_N12C_SD1_2322.8_1344EC17_Galactose-6-phosphate methoxyamine (6TMS)	28.01			28.01		Galactose-6-phosphate methoxyamine		-	-	-	-	-
Oleamide, N-trimethylsilyl-	28.19	28.19	28.2	28.1933333333333	0.00577350269189511	Oleamide	Oleamide	HMDB0002117	C19670	5283387	116314	-
_-D-Galactopyranose, 6-O-(trimethylsilyl)-, cyclic 1,2:3,4-bis(butylboronate)	28.41			28.41		D-Galactopyranose		-	-	-	-	-
D-Myo-Inositol, 1,2,4,5,6-pentakis-O-(trimethylsilyl)-, bis(trimethylsilyl) phosphate		28.6	28.61	28.605	0.00707106781186407	D-Myo-Inositol	myo-Inositol	HMDB0000211	C00137	-	17268	5221
EITTMS_N12C_ATHR_2566.0_1135EC44_[Contamination]		29.16		29.16		Contamination		-	-	-	-	-
EITTMS_N12C_SD1_2640.8_1194EK21_Sucrose (8TMS); alpha-D-Glc-(1,2)-beta-D-Fru	29.16			29.16		Sucrose	Sucrose	HMDB0000258	C00089	5988	17992	137
Diisooctyl phthalate			29.17	29.17		Diisooctyl phthalate		-	-	-	-	-
EIQTMS_N12C_ATHL_2651.2_3161BN21_Sucrose (8TMS); alpha-D-Glc-(1,2)-beta-D-Fru	30.02	30.02		30.02	0	Sucrose	Sucrose	HMDB0000258	C00089	5988	17992	137
EIQTMS_N12C_ATHL_2651.2_3161BN21_Sucrose (8TMS); alpha-D-Glc-(1,2)-beta-D-Fru1			30.02	30.02		Sucrose	Sucrose	HMDB0000258	C00089	5988	17992	137
4_-Methylandrostane2,3-diol-1,17-dione	31.07			31.07		4_-Methylandrostane2,3-diol-1,17-dione		-	-	-	-	-
EITTMS_N12C_ATHR_3605.3_1135EC25_[Contamination]		31.07		31.07		Contamination		-	-	-	-	-
EITTMS_N12C_ATHR_3414.0_1135EC44_[680; Isomaltose methoxyamine (8TMS)]1			31.16	31.16		Isomaltose methoxyamine		-	-	-	-	-
_-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate - RT:31.62	31.62			31.62		D-Galactopyranoside		-	-	-	-	-
D-(+)-Cellobiose, octakis(trimethylsilyl) ether, methyloxime (isomer 1)	32.02			32.02		D-(+)-Cellobiose	Cellobiose	HMDB0000055	C06422	10712	36217	3480
EITTMS_N12C_SD1_2765.9_1344EC78_Maltose methoxyamine {BP} (8TMS); alpha-D-Glc-(1,4)-D-Glc1			32.02	32.02		Maltose methoxyamine 		-	-	-	-	-
Adenosine, N-(trimethylsilyl)-2',3'-bis-O-(trimethylsilyl)-, 5'-[bis(trimethylsilyl) phosphate]		32.3		32.3		Adenosine	Adenosine	HMDB0000050	C00212	60961	16335	86
Adenosine, N-(trimethylsilyl)-2',3'-bis-O-(trimethylsilyl)-, 5'-[bis(trimethylsilyl) phosphate]1			32.31	32.31		Adenosine	Adenosine	HMDB0000050	C00212	60961	16335	86
EIQTMS_N12C_LJAN_3180.9_2233BN14_[NA]	32.93	32.93	32.94	32.9333333333333	0.00577350269189511	EIQTMS_N12C_LJAN_3180.9_2233BN14_[NA]		-	-	-	-	-
1-Monolinoleoylglycerol trimethylsilyl ether	34.44			34.44		1-Monolinoleoylglycerol trimethylsilyl ether		-	-	-	-	-
EITTMS_N12C_SD1_2765.9_1344EC78_Maltose methoxyamine {BP} (8TMS); alpha-D-Glc-(1,4)-D-Glc32.00						Maltose methoxyamine 		-	-	-	-	-
EITTMS_N12C_SD1_2765.9_1344EC78_Maltose methoxyamine {BP} (8TMS); alpha-D-Glc-(1,4)-D-Glc32.48						Maltose methoxyamine 		-	-	-	-	-
