Compound	RT	Response
"D-(-)-Tagatose, pentakis(trimethylsilyl) ether, methyloxime (anti)"	16.45	720618260
EITTMS_N12C_NTAL_1700.2_1135EC07_[Pentitol (5TMS)]	16.65	1091090484
EIQTMS_N12C_SD1_1716.4_3196BU17_Xylitol (5TMS)	16.89	959166445
EIQTMS_N12C_SD1_1716.4_3196BU17_Xylitol (5TMS)	17.15	8854334842
EITTMS_N12C_SD1_1862.2_2011EC39_2-Keto-L-gulonic acid methoxyamine (5TMS)1	17.36	544080680
"_-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate1"	17.57	549060839
EIQTMS_N12C_ATHL_1784.5_3161BN22_L-Glutamine (3TMS)	17.87	2517464234
EITTMS_N12C_STUO_1953.9_1135EC31_G	17.99	386259462
EIQTMS_N12C_LJALM_1773.4_2236BN40_[939; 2-Keto-L-gluconic acid (5TMS); A11]1	18.08	2178472409
"Tetradecanoic acid, trimethylsilyl ester"	19.11	3969574950
"N-Acetyl glucosamine methoxime, tetrakis(trimethylsilyl)"	19.36	1240417503
EIQTMS_N12C_LJALM_1852.8_2236BN40_Dehydroascorbic acid dimer; L(+)-Ascorbic acid {BP}1	19.53	4998970486
EIQTMS_N12C_LJALM_1852.8_2236BN40_Dehydroascorbic acid dimer; L(+)-Ascorbic acid {BP}1	20.04	1151812512
EIQTMS_N12C_LJARL_1875.9_2236BN14_Fructose methoxyamine (5TMS)	20.29	1856587284
"d-Galactose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1E)-"	20.67	16879458118
"d-Galactose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1E)-"	20.79	6463352280
"d-Galactose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1E)-"	21.06	6107059792
"D-Mannitol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-"	21.41	13831750045
"10,12-Docosadiynedioic acid ditms"	22.09	570920827
"_-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate"	22.26	358164640
"7-(Trimethylsilyl)-2,6-bis[(trimethylsilyl)oxy]-7H-purine"	22.76	917506963
EIQTMS_N12C_LJAF_2051.5_2236BN50_Hexadecanoic acid (1TMS)	22.9	20916365314
EITTMS_N12C_ATHR_2027.2_1135EC44_	23.29	955322561
Oleanitrile	23.48	1355896186
"_-D-Glucopyranosiduronic acid, 3-(5-ethylhexahydro-2,4,6-trioxo-5-pyrimidinyl)-1,1-dimethylpropyl 2,3,4-tris-O-(trimethylsilyl)-, methyl ester1"	23.98	390829760
EIQTMS_N12C_ATHL_2090.3_3161BN22_myo-Inositol (6TMS)	24.34	1330603107
EIQTMS_N12C_SD1_2111.3_1325BK16_Uric acid (4TMS)	24.44	398463313
"N,9-bis(Trimethylsilyl)-6-[(trimethylsilyl)oxy]-9H-purin-2-amine"	24.64	847446929
"D-(-)-Fructofuranose, pentakis(trimethylsilyl) ether (isomer 2)"	25.72	961849292
"trans-9-Octadecenoic acid, trimethylsilyl ester"	25.94	3600397410
EIQTMS_N12C_SCA_2246.9_3147BF23_Octadecanoic acid (1TMS)	26.37	17940230057
EITTMS_N12C_ATHL_2309.5_1135EC24_[Galactosylglycerol (6TMS)]	27.43	768666461
EITTMS_N12C_ATHL_2309.5_1135EC24_[Galactosylglycerol (6TMS)]	27.75	2915814704
"Oleamide, N-trimethylsilyl-"	28.2	10614506062
"D-Myo-Inositol, 1,2,4,5,6-pentakis-O-(trimethylsilyl)-, bis(trimethylsilyl) phosphate"	28.61	709178890
Diisooctyl phthalate	29.17	2150874380
"EIQTMS_N12C_ATHL_2651.2_3161BN21_Sucrose (8TMS); alpha-D-Glc-(1,2)-beta-D-Fru1"	30.02	94483162962
EITTMS_N12C_ATHR_3414.0_1135EC44_[680; Isomaltose methoxyamine (8TMS)]1	31.16	2874380969
"EITTMS_N12C_SD1_2765.9_1344EC78_Maltose methoxyamine {BP} (8TMS); alpha-D-Glc-(1,4)-D-Glc1"	32.02	412790454
"Adenosine, N-(trimethylsilyl)-2',3'-bis-O-(trimethylsilyl)-, 5'-[bis(trimethylsilyl) phosphate]1"	32.31	267341297
EIQTMS_N12C_LJAN_3180.9_2233BN14_[NA]	32.94	7036553499
