Compound	RT	Response
EIQTMS_N12C_SD1_1716.4_3196BU17_Xylitol (5TMS)	17.14	6783011064
"_-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(trimethylsilyl)-, cyclic methylboronate"	17.57	477188711
EIQTMS_N12C_ATHL_1784.8_3038BN18_L-Glutamine (3TMS)	17.87	2492254810
"_-D-Galactopyranoside, methyl 2,3-bis-O-(trimethylsilyl)-, cyclic methylboronate"	18.14	1965028603
EIQTMS_N12C_OARPLAS_1827.4_3350DF05_Citric acid (4TMS)	19.01	4233198941
"D-Ribo-Hexitol, 3-deoxy-1,2,4,5,6-pentakis-O-(trimethylsilyl)-"	19.37	651776692
EIQTMS_N12C_LJALM_1852.8_2236BN40_Dehydroascorbic acid dimer; L(+)-Ascorbic acid {BP}	19.53	2535586130
EIQTMS_N12C_LJARL_1875.9_2236BN14_Fructose methoxyamine (5TMS)	20.28	1482054453
EITTMS_N12C_SD2_1885.5_1135EC00_Galactose methoxyamine (5TMS)	20.66	4724713998
"d-Glucose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, o-methyloxyme, (1E)-"	20.79	11358529517
EITTMS_N12C_ATHR_1910.1_1135EC44_Glucose methoxyamine {BP} (5TMS)	21.13	4626804705
"D-Mannitol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-"	21.42	10494713986
EITTMS_N12C_STUL_2254.2_1135EC28_G	22.25	1406482224
EIQTMS_N12C_SCA_2049.5_3147BF22_Hexadecanoic acid (1TMS)	22.89	12195084618
Oleanitrile	23.47	384356050
EIQTMS_N12C_LJARL_2093.9_2236BN14_myo-Inositol (6TMS)	24.34	1723041913
"N,9-bis(Trimethylsilyl)-6-[(trimethylsilyl)oxy]-9H-purin-2-amine"	24.63	927564481
"D-Psicofuranose, pentakis(trimethylsilyl) ether (isomer 1)"	25.72	635314635
"trans-9-Octadecenoic acid, trimethylsilyl ester"	25.94	2208760291
EIQTMS_N12C_SCA_2246.9_3147BF23_Octadecanoic acid (1TMS)	26.37	10123358223
EITTMS_N12C_ATHL_2309.5_1135EC24_[Galactosylglycerol (6TMS)]	27.42	1595091308
EITTMS_N12C_ATHL_3035.3_1135EC05_[952; Sucrose (8TMS)]	27.63	8000309329
EITTMS_N12C_ATHL_2309.5_1135EC24_[Galactosylglycerol (6TMS)]	27.74	721145620
EIQTMS_N12C_ATHL_2331.7_3161BN25_Glucose-6-phosphate methoxyamine (6TMS)	27.85	345921183
"Oleamide, N-trimethylsilyl-"	28.19	3894349363
"D-Myo-Inositol, 1,2,4,5,6-pentakis-O-(trimethylsilyl)-, bis(trimethylsilyl) phosphate"	28.6	1163482599
EITTMS_N12C_ATHR_2566.0_1135EC44_[Contamination]	29.16	1903670717
"EIQTMS_N12C_ATHL_2651.2_3161BN21_Sucrose (8TMS); alpha-D-Glc-(1,2)-beta-D-Fru"	30.02	77103930260
EITTMS_N12C_ATHR_3605.3_1135EC25_[Contamination]	31.07	2591918996
"EITTMS_N12C_SD1_2765.9_1344EC78_Maltose methoxyamine {BP} (8TMS); alpha-D-Glc-(1,4)-D-Glc32.00"		405380482
"Adenosine, N-(trimethylsilyl)-2',3'-bis-O-(trimethylsilyl)-, 5'-[bis(trimethylsilyl) phosphate]"	32.3	249646805
"EITTMS_N12C_SD1_2765.9_1344EC78_Maltose methoxyamine {BP} (8TMS); alpha-D-Glc-(1,4)-D-Glc32.48"		392980013
EIQTMS_N12C_LJAN_3180.9_2233BN14_[NA]	32.93	4488141208
